加賀市(石川県),,,,,,
緯度:36.3028° 経度:136.3150° 標高: 0.0 m 標準時:UT+9h,,,,,,
年月日,出,方位[°],南中,高度[°],入り,方位[°]
2022/1/1,7:06,118.3,11:58:06,30.7,16:50,241.7
2022/1/2,7:06,118.2,11:58:34,30.8,16:51,241.8
2022/1/3,7:06,118.1,11:59:02,30.9,16:52,242
2022/1/4,7:06,118,11:59:30,31,16:53,242.1
2022/1/5,7:06,117.8,11:59:57,31.1,16:54,242.2
2022/1/6,7:06,117.7,12:00:24,31.2,16:54,242.4
2022/1/7,7:06,117.5,12:00:50,31.3,16:55,242.5
2022/1/8,7:06,117.4,12:01:16,31.5,16:56,242.7
2022/1/9,7:06,117.2,12:01:41,31.6,16:57,242.9
2022/1/10,7:06,117,12:02:06,31.7,16:58,243.1
2022/1/11,7:06,116.8,12:02:30,31.9,16:59,243.3
2022/1/12,7:06,116.6,12:02:53,32.1,17:00,243.5
2022/1/13,7:06,116.4,12:03:16,32.2,17:01,243.7
2022/1/14,7:06,116.2,12:03:38,32.4,17:02,243.9
2022/1/15,7:05,115.9,12:04:00,32.6,17:03,244.2
2022/1/16,7:05,115.7,12:04:21,32.8,17:04,244.4
2022/1/17,7:05,115.5,12:04:41,33,17:05,244.6
2022/1/18,7:04,115.2,12:05:00,33.2,17:06,244.9
2022/1/19,7:04,114.9,12:05:19,33.4,17:07,245.2
2022/1/20,7:04,114.7,12:05:37,33.6,17:08,245.4
2022/1/21,7:03,114.4,12:05:54,33.8,17:09,245.7
2022/1/22,7:03,114.1,12:06:11,34,17:10,246
2022/1/23,7:02,113.8,12:06:27,34.2,17:11,246.3
2022/1/24,7:02,113.5,12:06:42,34.5,17:12,246.6
2022/1/25,7:01,113.2,12:06:56,34.7,17:13,246.9
2022/1/26,7:00,112.9,12:07:09,35,17:14,247.3
2022/1/27,7:00,112.6,12:07:22,35.2,17:15,247.6
2022/1/28,6:59,112.2,12:07:34,35.5,17:16,247.9
2022/1/29,6:58,111.9,12:07:45,35.8,17:17,248.3
2022/1/30,6:58,111.6,12:07:56,36,17:19,248.6
2022/1/31,6:57,111.2,12:08:05,36.3,17:20,249
2022/2/1,6:56,110.8,12:08:14,36.6,17:21,249.3
2022/2/2,6:55,110.5,12:08:22,36.9,17:22,249.7
2022/2/3,6:55,110.1,12:08:29,37.2,17:23,250
2022/2/4,6:54,109.7,12:08:35,37.5,17:24,250.4
2022/2/5,6:53,109.4,12:08:41,37.8,17:25,250.8
2022/2/6,6:52,109,12:08:45,38.1,17:26,251.2
2022/2/7,6:51,108.6,12:08:49,38.4,17:27,251.6
2022/2/8,6:50,108.2,12:08:52,38.7,17:28,252
2022/2/9,6:49,107.8,12:08:54,39,17:29,252.4
2022/2/10,6:48,107.4,12:08:55,39.3,17:30,252.8
2022/2/11,6:47,107,12:08:56,39.7,17:31,253.2
2022/2/12,6:46,106.6,12:08:56,40,17:32,253.6
2022/2/13,6:45,106.1,12:08:55,40.3,17:33,254
2022/2/14,6:44,105.7,12:08:53,40.7,17:34,254.5
2022/2/15,6:43,105.3,12:08:51,41,17:35,254.9
2022/2/16,6:42,104.9,12:08:47,41.3,17:36,255.3
2022/2/17,6:41,104.4,12:08:43,41.7,17:37,255.8
2022/2/18,6:39,104,12:08:39,42,17:38,256.2
2022/2/19,6:38,103.6,12:08:34,42.4,17:39,256.7
2022/2/20,6:37,103.1,12:08:28,42.8,17:40,257.1
2022/2/21,6:36,102.7,12:08:21,43.1,17:41,257.6
2022/2/22,6:35,102.2,12:08:14,43.5,17:42,258
2022/2/23,6:33,101.7,12:08:06,43.8,17:43,258.5
2022/2/24,6:32,101.3,12:07:58,44.2,17:44,258.9
2022/2/25,6:31,100.8,12:07:49,44.6,17:45,259.4
2022/2/26,6:30,100.4,12:07:39,45,17:46,259.9
2022/2/27,6:28,99.9,12:07:29,45.3,17:47,260.3
2022/2/28,6:27,99.4,12:07:18,45.7,17:48,260.8
2022/3/1,6:26,99,12:07:07,46.1,17:49,261.3
2022/3/2,6:24,98.5,12:06:55,46.5,17:50,261.7
2022/3/3,6:23,98,12:06:43,46.8,17:51,262.2
2022/3/4,6:22,97.5,12:06:31,47.2,17:52,262.7
2022/3/5,6:20,97.1,12:06:18,47.6,17:53,263.2
2022/3/6,6:19,96.6,12:06:04,48,17:54,263.7
2022/3/7,6:18,96.1,12:05:50,48.4,17:55,264.1
2022/3/8,6:16,95.6,12:05:36,48.8,17:56,264.6
2022/3/9,6:15,95.1,12:05:21,49.2,17:56,265.1
2022/3/10,6:13,94.6,12:05:06,49.6,17:57,265.6
2022/3/11,6:12,94.2,12:04:50,50,17:58,266.1
2022/3/12,6:11,93.7,12:04:35,50.3,17:59,266.6
2022/3/13,6:09,93.2,12:04:18,50.7,18:00,267.1
2022/3/14,6:08,92.7,12:04:02,51.1,18:01,267.6
2022/3/15,6:06,92.2,12:03:45,51.5,18:02,268
2022/3/16,6:05,91.7,12:03:28,51.9,18:03,268.5
2022/3/17,6:03,91.2,12:03:11,52.3,18:04,269
2022/3/18,6:02,90.7,12:02:54,52.7,18:04,269.5
2022/3/19,6:01,90.2,12:02:36,53.1,18:05,270
2022/3/20,5:59,89.8,12:02:19,53.5,18:06,270.5
2022/3/21,5:58,89.3,12:02:01,53.9,18:07,271
2022/3/22,5:56,88.8,12:01:43,54.3,18:08,271.5
2022/3/23,5:55,88.3,12:01:25,54.7,18:09,272
2022/3/24,5:53,87.8,12:01:07,55.1,18:10,272.5
2022/3/25,5:52,87.3,12:00:49,55.5,18:10,272.9
2022/3/26,5:50,86.8,12:00:31,55.9,18:11,273.4
2022/3/27,5:49,86.3,12:00:13,56.3,18:12,273.9
2022/3/28,5:47,85.8,11:59:55,56.6,18:13,274.4
2022/3/29,5:46,85.4,11:59:37,57,18:14,274.9
2022/3/30,5:44,84.9,11:59:19,57.4,18:15,275.4
2022/3/31,5:43,84.4,11:59:01,57.8,18:16,275.9
2022/4/1,5:42,83.9,11:58:43,58.2,18:16,276.3
2022/4/2,5:40,83.4,11:58:25,58.6,18:17,276.8
2022/4/3,5:39,83,11:58:08,59,18:18,277.3
2022/4/4,5:37,82.5,11:57:50,59.4,18:19,277.8
2022/4/5,5:36,82,11:57:33,59.7,18:20,278.2
2022/4/6,5:34,81.5,11:57:16,60.1,18:21,278.7
2022/4/7,5:33,81.1,11:56:59,60.5,18:22,279.2
2022/4/8,5:32,80.6,11:56:42,60.9,18:22,279.7
2022/4/9,5:30,80.1,11:56:26,61.2,18:23,280.1
2022/4/10,5:29,79.7,11:56:10,61.6,18:24,280.6
2022/4/11,5:27,79.2,11:55:54,62,18:25,281
2022/4/12,5:26,78.7,11:55:38,62.3,18:26,281.5
2022/4/13,5:25,78.3,11:55:23,62.7,18:27,282
2022/4/14,5:23,77.8,11:55:07,63.1,18:28,282.4
2022/4/15,5:22,77.4,11:54:53,63.4,18:28,282.9
2022/4/16,5:21,76.9,11:54:38,63.8,18:29,283.3
2022/4/17,5:19,76.5,11:54:24,64.1,18:30,283.8
2022/4/18,5:18,76,11:54:10,64.5,18:31,284.2
2022/4/19,5:17,75.6,11:53:57,64.8,18:32,284.6
2022/4/20,5:15,75.2,11:53:44,65.2,18:33,285.1
2022/4/21,5:14,74.7,11:53:32,65.5,18:34,285.5
2022/4/22,5:13,74.3,11:53:20,65.9,18:34,285.9
2022/4/23,5:12,73.9,11:53:08,66.2,18:35,286.3
2022/4/24,5:10,73.5,11:52:57,66.5,18:36,286.8
2022/4/25,5:09,73.1,11:52:47,66.9,18:37,287.2
2022/4/26,5:08,72.7,11:52:36,67.2,18:38,287.6
2022/4/27,5:07,72.2,11:52:27,67.5,18:39,288
2022/4/28,5:06,71.8,11:52:18,67.8,18:40,288.4
2022/4/29,5:04,71.4,11:52:09,68.1,18:40,288.8
2022/4/30,5:03,71,11:52:01,68.4,18:41,289.2
2022/5/1,5:02,70.7,11:51:54,68.7,18:42,289.6
2022/5/2,5:01,70.3,11:51:47,69,18:43,289.9
2022/5/3,5:00,69.9,11:51:40,69.3,18:44,290.3
2022/5/4,4:59,69.5,11:51:35,69.6,18:45,290.7
2022/5/5,4:58,69.2,11:51:29,69.9,18:46,291.1
2022/5/6,4:57,68.8,11:51:25,70.2,18:46,291.4
2022/5/7,4:56,68.4,11:51:20,70.5,18:47,291.8
2022/5/8,4:55,68.1,11:51:17,70.8,18:48,292.1
2022/5/9,4:54,67.7,11:51:14,71,18:49,292.5
2022/5/10,4:53,67.4,11:51:11,71.3,18:50,292.8
2022/5/11,4:52,67.1,11:51:09,71.6,18:51,293.1
2022/5/12,4:51,66.7,11:51:07,71.8,18:52,293.5
2022/5/13,4:50,66.4,11:51:07,72.1,18:52,293.8
2022/5/14,4:49,66.1,11:51:06,72.3,18:53,294.1
2022/5/15,4:49,65.8,11:51:06,72.5,18:54,294.4
2022/5/16,4:48,65.5,11:51:07,72.8,18:55,294.7
2022/5/17,4:47,65.2,11:51:09,73,18:56,295
2022/5/18,4:46,64.9,11:51:10,73.2,18:56,295.3
2022/5/19,4:46,64.6,11:51:13,73.4,18:57,295.6
2022/5/20,4:45,64.3,11:51:16,73.7,18:58,295.8
2022/5/21,4:44,64.1,11:51:20,73.9,18:59,296.1
2022/5/22,4:44,63.8,11:51:24,74.1,19:00,296.3
2022/5/23,4:43,63.5,11:51:28,74.3,19:00,296.6
2022/5/24,4:42,63.3,11:51:34,74.4,19:01,296.8
2022/5/25,4:42,63.1,11:51:39,74.6,19:02,297.1
2022/5/26,4:41,62.8,11:51:46,74.8,19:03,297.3
