ダウンロードした時刻：2023/02/14 13:37:04

,,小松,小松,小松,小松,小松,小松
年,月,日照時間(時間),日照時間(時間),日照時間0.1時間未満日数(日),日照時間0.1時間未満日数(日),日照率40%以上日数(日),日照率40%以上日数(日)
,,,均質番号,,均質番号,,均質番号
2010,2,83.6,1,8,1,,1
2010,3,83.2,1,8,1,,1
2010,4,140.9,1,8,1,,1
2010,5,173.3,1,8,1,,1
2010,6,190.9,1,3,1,,1
2010,7,209.4,1,6,1,,1
2010,8,263.3,1,4,1,,1
2010,9,149.0,1,2,1,,1
2010,10,132.6,1,6,1,,1
2010,11,113.5,1,3,1,,1
2010,12,73.1,1,6,1,,1
2011,1,44.3,1,7,1,,1
2011,2,127.2,1,2,1,,1
2011,3,134.5,1,3,1,,1
2011,4,177.7,1,2,1,,1
2011,5,176.6,1,5,1,,1
2011,6,141.5,1,3,1,,1
2011,7,186.7,1,5,1,,1
2011,8,194.3,1,2,1,,1
2011,9,177.9,1,5,1,,1
2011,10,169.3,1,3,1,,1
2011,11,116.0,1,7,1,,1
2011,12,47.2,1,5,1,,1
2012,1,76.5,1,2,1,,1
2012,2,80.0,1,5,1,,1
2012,3,114.1,1,7,1,,1
2012,4,172.9,1,4,1,,1
2012,5,193.8,1,5,1,,1
2012,6,177.5,1,4,1,,1
2012,7,193.9,1,5,1,,1
2012,8,289.5,1,0,1,,1
2012,9,191.7,1,1,1,,1
2012,10,184.2,1,5,1,,1
2012,11,66.5,1,7,1,,1
2012,12,61.5,1,10,1,,1
2013,1,67.3,1,3,1,,1
2013,2,80.1,1,5,1,,1
2013,3,160.3,1,2,1,,1
2013,4,162.9,1,5,1,,1
2013,5,255.0,1,4,1,,1
2013,6,186.3,1,6,1,,1
2013,7,178.5,1,1,1,,1
2013,8,236.1,1,1,1,,1
2013,9,186.9,1,2,1,,1
2013,10,131.2,1,5,1,,1
2013,11,116.1,1,3,1,,1
2013,12,48.5,1,5,1,,1
2014,1,96.4,1,7,1,,1
2014,2,88.4,1,5,1,,1
2014,3,142.0,1,6,1,,1
2014,4,228.3,1,2,1,,1
2014,5,244.7,1,3,1,,1
2014,6,199.2,1,2,1,,1
2014,7,193.3,1,4,1,,1
2014,8,116.7,1,4,1,,1
2014,9,206.3,1,1,1,,1
2014,10,176.8,1,7,1,,1
2014,11,118.4,1,4,1,,1
2014,12,37.7,1,7,1,,1
2015,1,46.7,1,7,1,,1
2015,2,73.7,1,7,1,,1
2015,3,150.4,1,3,1,,1
2015,4,172.9,1,5,1,,1
2015,5,265.0,1,1,1,,1
2015,6,171.8,1,3,1,,1
2015,7,176.2,1,6,1,,1
2015,8,204.5,1,2,1,,1
2015,9,136.8,1,4,1,,1
2015,10,198.5,1,2,1,,1
2015,11,99.0,1,9,1,,1
2015,12,76.7,1,8,1,,1
2016,1,59.5,1,6,1,,1
2016,2,107.4,1,5,1,,1
2016,3,157.4,1,3,1,,1
2016,4,170.2,1,6,1,,1
2016,5,218.1,1,5,1,,1
2016,6,152.9,1,3,1,,1
2016,7,171.4,1,4,1,,1
2016,8,224.6,1,0,1,,1
2016,9,94.4,1,7,1,,1
2016,10,139.8,1,2,1,,1
2016,11,117.5,1,2,1,,1
2016,12,79.4,1,5,1,,1
2017,1,79.2,1,3,1,,1
2017,2,85.2,1,8,1,,1
2017,3,164.2,1,2,1,,1
2017,4,195.2,1,2,1,,1
2017,5,234.8,1,4,1,,1
2017,6,209.1,1,3,1,,1
2017,7,195.6,1,4,1,,1
2017,8,185.3,1,0,1,,1
2017,9,179.9,1,4,1,,1
2017,10,107.6,1,9,1,,1
2017,11,127.8,1,4,1,,1
2017,12,61.6,1,4,1,,1
2018,1,51.7,1,5,1,,1
